VehicleNumber,VehicleType,Idle,Wait_Chg,Chg_Done,Chg,Fly
0,Charlie,0.00556,0.31111,0.00278,0.26389,0.41667
1,Bravo,0.00833,0.51667,0.00278,0.06667,0.40556
2,Bravo,0.00833,0.51667,0.00278,0.06667,0.40556
3,Delta,0.00556,0.41944,0.00000,0.01667,0.55833
4,Echo,0.00556,0.58889,0.00278,0.10000,0.30278
5,Delta,0.00556,0.43611,0.00000,0.00000,0.55833
6,Delta,0.00556,0.43611,0.00000,0.00000,0.55833
7,Charlie,0.00556,0.31111,0.00278,0.26389,0.41667
8,Alpha,0.00278,0.42222,0.00000,0.01944,0.55556
9,Charlie,0.00556,0.31111,0.00278,0.26389,0.41667
10,Charlie,0.00556,0.31111,0.00278,0.26389,0.41667
11,Bravo,0.00833,0.51667,0.00278,0.06667,0.40556
12,Bravo,0.00833,0.58333,0.00278,0.06667,0.33889
13,Charlie,0.00556,0.31111,0.00278,0.26389,0.41667
14,Alpha,0.00278,0.42222,0.00000,0.01944,0.55556
15,Bravo,0.00833,0.58333,0.00278,0.06667,0.33889
16,Echo,0.00556,0.58611,0.00278,0.10000,0.30556
17,Echo,0.00556,0.58889,0.00278,0.10000,0.30278
18,Bravo,0.00833,0.58333,0.00278,0.06667,0.33889
19,Charlie,0.00556,0.31111,0.00278,0.26389,0.41667
